filename,width,height,class,xmin,ymin,xmax,ymax
writer16_11.jpg,270,768,text,33,25,92,78
writer16_11.jpg,270,768,terminator,6,15,116,68
writer16_11.jpg,270,768,arrow,116,35,177,51
writer16_11.jpg,270,768,text,197,26,315,58
writer16_11.jpg,270,768,data,161,5,365,78
writer16_11.jpg,270,768,arrow,337,42,375,55
writer16_11.jpg,270,768,text,403,29,560,63
writer16_11.jpg,270,768,process,375,16,584,85
writer16_11.jpg,270,768,arrow,130,79,468,178
writer16_11.jpg,270,768,text,51,199,231,259
writer16_11.jpg,270,768,process,19,185,256,264
writer16_11.jpg,270,768,arrow,246,218,282,228
writer16_11.jpg,270,768,text,326,194,542,253
writer16_11.jpg,270,768,data,280,181,586,259
writer16_11.jpg,270,768,arrow,576,214,628,225
writer16_11.jpg,270,768,text,664,203,723,227
writer16_11.jpg,270,768,terminator,632,184,762,253
writer13_6.jpg,768,367,terminator,242,6,337,75
writer13_6.jpg,768,367,text,248,28,325,61
writer13_6.jpg,768,367,arrow,262,74,291,110
writer13_6.jpg,768,367,data,186,116,361,183
writer13_6.jpg,768,367,text,209,132,312,177
writer13_6.jpg,768,367,arrow,247,180,276,214
writer13_6.jpg,768,367,process,169,217,343,278
writer13_6.jpg,768,367,text,186,225,300,269
writer13_6.jpg,768,367,arrow,242,276,267,310
writer13_6.jpg,768,367,process,168,311,348,375
writer13_6.jpg,768,367,text,184,323,339,359
writer13_6.jpg,768,367,arrow,235,370,263,408
writer13_6.jpg,768,367,decision,182,408,299,498
writer13_6.jpg,768,367,text,204,433,278,460
writer13_6.jpg,768,367,arrow,214,493,245,576
writer13_6.jpg,768,367,text,244,516,290,549
writer13_6.jpg,768,367,data,129,577,301,650
writer13_6.jpg,768,367,text,159,595,281,635
writer13_6.jpg,768,367,arrow,197,640,234,684
writer13_6.jpg,768,367,terminator,165,684,276,762
writer13_6.jpg,768,367,text,189,694,264,728
writer13_6.jpg,768,367,arrow,55,443,180,471
writer13_6.jpg,768,367,text,102,470,147,490
writer13_6.jpg,768,367,process,5,397,114,449
writer13_6.jpg,768,367,text,23,404,85,432
writer13_6.jpg,768,367,arrow,50,340,169,397
writer26_2b.jpg,77,768,connection,6,18,42,52
writer26_2b.jpg,77,768,arrow,39,34,98,50
writer26_2b.jpg,77,768,text,117,18,224,45
writer26_2b.jpg,77,768,data,92,8,250,57
writer26_2b.jpg,77,768,arrow,239,35,305,52
writer26_2b.jpg,77,768,text,330,31,428,47
writer26_2b.jpg,77,768,process,297,6,439,64
writer26_2b.jpg,77,768,arrow,442,33,526,52
writer26_2b.jpg,77,768,data,515,5,683,71
writer26_2b.jpg,77,768,text,543,23,634,54
writer26_2b.jpg,77,768,arrow,655,34,722,50
writer26_2b.jpg,77,768,connection,728,24,762,51
writer26_13.jpg,241,768,connection,6,9,31,35
writer26_13.jpg,241,768,arrow,35,20,82,30
writer26_13.jpg,241,768,data,82,5,204,48
writer26_13.jpg,241,768,arrow,184,24,242,36
writer26_13.jpg,241,768,process,245,5,341,45
writer26_13.jpg,241,768,arrow,274,45,297,85
writer26_13.jpg,241,768,process,243,86,348,123
writer26_13.jpg,241,768,arrow,275,121,291,169
writer26_13.jpg,241,768,decision,254,171,312,231
writer26_13.jpg,241,768,arrow,98,118,256,205
writer26_13.jpg,241,768,process,63,83,147,119
writer26_13.jpg,241,768,arrow,148,102,232,113
writer26_13.jpg,241,768,arrow,311,191,394,207
